localisation_toile-Latitude,localisation_toile-Longitude,localisation_toile-Altitude,localisation_toile-Accuracy,type_toile,note_toile,id_tube_toile,PARENT_KEY,KEY
,,,,Mix,,WEB028,uuid:3ea61d14-2f4d-48d5-8b4f-a52325807fe4,uuid:3ea61d14-2f4d-48d5-8b4f-a52325807fe4/toile[1]
,,,,Mix,,WEB027,uuid:4aa03fee-111d-431a-8b5a-dd2c9d1f3e50,uuid:4aa03fee-111d-431a-8b5a-dd2c9d1f3e50/toile[1]
,,,,Mix,,WEB026,uuid:b094b968-3da9-442c-b04f-90bd3102d2ab,uuid:b094b968-3da9-442c-b04f-90bd3102d2ab/toile[1]
,,,,Mix,,WEB025,uuid:cca2b584-bc74-4447-9d13-1d84e0db6986,uuid:cca2b584-bc74-4447-9d13-1d84e0db6986/toile[1]
,,,,Mix,,WEB024,uuid:bed58851-47f9-40b1-8157-0db60bf77886,uuid:bed58851-47f9-40b1-8157-0db60bf77886/toile[1]
,,,,Mix,,WEB023,uuid:5b6ad2e1-1a12-47e6-9c76-dad81ae42459,uuid:5b6ad2e1-1a12-47e6-9c76-dad81ae42459/toile[1]
,,,,Mix,,WEB022,uuid:3aba086c-51c8-4d8d-ae8a-533b11bb2662,uuid:3aba086c-51c8-4d8d-ae8a-533b11bb2662/toile[1]
,,,,Mix,,WEB021,uuid:bd56bec3-3cd1-4776-9ae4-869789cc6fbf,uuid:bd56bec3-3cd1-4776-9ae4-869789cc6fbf/toile[1]
,,,,Mix,,WEB020,uuid:a1a4eb07-aa85-4b0c-8899-f74b8f6f1ccc,uuid:a1a4eb07-aa85-4b0c-8899-f74b8f6f1ccc/toile[1]
,,,,Mix,,WEB019,uuid:05d93549-6435-4814-9297-371cdd402ab1,uuid:05d93549-6435-4814-9297-371cdd402ab1/toile[1]
,,,,Mix,,WEB018,uuid:7b3cbb6d-c745-41f7-bb25-27cbeebdf335,uuid:7b3cbb6d-c745-41f7-bb25-27cbeebdf335/toile[1]
,,,,Mix,,WEB017,uuid:6f3a7b52-14e5-4b8a-86a4-565ff50d2c50,uuid:6f3a7b52-14e5-4b8a-86a4-565ff50d2c50/toile[1]
,,,,Mix,,WEB016,uuid:3b672fd4-13b8-426f-85e0-501883174944,uuid:3b672fd4-13b8-426f-85e0-501883174944/toile[1]
,,,,Mix,,WEB012,uuid:dcda5ea8-4beb-4d37-a6b1-d8640e6bbe13,uuid:dcda5ea8-4beb-4d37-a6b1-d8640e6bbe13/toile[1]
,,,,Mix,,WEB011,uuid:d284f7ae-9b18-4c10-9321-b7a9c0906962,uuid:d284f7ae-9b18-4c10-9321-b7a9c0906962/toile[1]
,,,,Mix,,WEB015,uuid:adc3bd1c-de09-47ac-a1d5-4bd733f945f3,uuid:adc3bd1c-de09-47ac-a1d5-4bd733f945f3/toile[1]
,,,,Mix,,WEB014,uuid:e8721e36-cc00-496b-93b0-154e2122f59c,uuid:e8721e36-cc00-496b-93b0-154e2122f59c/toile[1]
,,,,Mix,,WEB013,uuid:987705f6-7e15-4f2f-a1a8-8980d96d585b,uuid:987705f6-7e15-4f2f-a1a8-8980d96d585b/toile[1]
,,,,Mix,,WEB010,uuid:585a34e5-e52d-485c-a874-1cba06ce83ec,uuid:585a34e5-e52d-485c-a874-1cba06ce83ec/toile[1]
,,,,Mix,,WEB009,uuid:db6e7dc0-4960-47f0-a01a-5bbc10f92166,uuid:db6e7dc0-4960-47f0-a01a-5bbc10f92166/toile[1]
,,,,Mix,,WEB008,uuid:f4d9ef30-a42b-4f21-b0da-3d1fe9380d8c,uuid:f4d9ef30-a42b-4f21-b0da-3d1fe9380d8c/toile[1]
,,,,Mix,,WEB007,uuid:71c4019f-7488-47ca-9371-7bfb95625947,uuid:71c4019f-7488-47ca-9371-7bfb95625947/toile[1]
,,,,a,,WEB003,uuid:763b5c59-fa64-4172-8cfa-14b65bd3be6f,uuid:763b5c59-fa64-4172-8cfa-14b65bd3be6f/toile[1]
,,,,Mix,,WEB002,uuid:21848718-b178-4b6b-ae94-edbe63734228,uuid:21848718-b178-4b6b-ae94-edbe63734228/toile[1]
,,,,Mix,,WEB006,uuid:b325d284-ab90-4d97-9f2b-569b04ab0627,uuid:b325d284-ab90-4d97-9f2b-569b04ab0627/toile[1]
,,,,Mix,,WEB005,uuid:53c51781-579b-4bd2-81ab-fc2d9a41a27e,uuid:53c51781-579b-4bd2-81ab-fc2d9a41a27e/toile[1]
,,,,Mix,,WEB004,uuid:43638dc8-da2f-4310-8094-d3b1f0e2e3b0,uuid:43638dc8-da2f-4310-8094-d3b1f0e2e3b0/toile[1]
44.5960376,-0.5999265,110.0,5.8,Mix,,WEB001,uuid:ee0e13c5-3bef-460e-998c-f2076c946a2d,uuid:ee0e13c5-3bef-460e-998c-f2076c946a2d/toile[1]
